Material Family,Rate (mm/yr) or Rating,Rate (mils/yr) or Rating,UNS,Temperature (deg C),pH,Salinity (g/L),Humidity (%)
Ferritic,A (Resistant),A (Resistant),S43400,20,1.1,5.2,33.3
Martensitic,A (Resistant),A (Resistant),S40300,20,3.1,0.9,79
Martensitic,A (Resistant),A (Resistant),S41000,20,0.8,1.7,26.6
Martensitic,A (Resistant),A (Resistant),S41600,20,2.6,3.2,68.3
Martensitic,A (Resistant),A (Resistant),S42000,20,1.4,1,39.6
Titanium and alloys,0.05 max ,2 max ,,204,1.9,8.2,51.1
Titanium and alloys,A (Resistant),A (Resistant),,240,1.5,3,43.1
Titanium and alloys,A (Resistant),A (Resistant),,199,1.7,9.8,48.5
Titanium and alloys,A (Resistant),A (Resistant),,200,3,7,77.5
Precipitation hardening,A (Resistant),A (Resistant),S36300,Room,1.5,1.7,43.8
Austenitic,A (Resistant),A (Resistant),S30100,20,7.3,4.8,65.3
Austenitic,A (Resistant),A (Resistant),S30100,Boiling,6.9,4.7,58.1
Austenitic,A (Resistant),A (Resistant),S30200,20,7.7,4.9,73.1
Austenitic,A (Resistant),A (Resistant),S30200,Boiling,8.7,5.4,94.9
Austenitic,A (Resistant),A (Resistant),S30300,20,7.9,0.3,78.6
Austenitic,A (Resistant),A (Resistant),S30300,20,5.9,6.9,37.2
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,5.1,4.9,22.5
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,6,7.9,41
Austenitic,A (Resistant),A (Resistant),S30400,20,7.4,8.2,67.6
Austenitic,A (Resistant),A (Resistant),S30400,Boiling,5.2,2.3,24.1
Austenitic,A (Resistant),A (Resistant),S31600,20,7,0.5,59.7
Austenitic,A (Resistant),A (Resistant),S31600,Boiling,7.4,7,67.7
Austenitic,A (Resistant),A (Resistant),S32100,20,6.3,9.8,46.7
Austenitic,A (Resistant),A (Resistant),S32100,Boiling,8.1,4.5,81.7
Austenitic,A (Resistant),A (Resistant),S34700,20,5.4,2.6,28.5
Austenitic,A (Resistant),A (Resistant),S34700,Boiling,5.3,1.6,26
Austenitic,A (Resistant),A (Resistant),S30403,20,7.9,2.9,78.3
Austenitic,A (Resistant),A (Resistant),S30403,Boiling,7,3.3,59.6
Austenitic,A (Resistant),A (Resistant),S30453,20,7.8,4.2,75.1
Austenitic,A (Resistant),A (Resistant),S30453,Boiling,6.7,6.6,54.8
Austenitic,A (Resistant),A (Resistant),S31620,20,6,2.7,39.7
Austenitic,A (Resistant),A (Resistant),S31620,Boiling,8.3,0.5,85.5
Austenitic,A (Resistant),A (Resistant),S31603,20,8.2,3.7,84
Austenitic,A (Resistant),A (Resistant),S31603,Boiling,7.8,8.6,75.6
Austenitic,A (Resistant),A (Resistant),S31653,20,6.1,5,41.8
Austenitic,A (Resistant),A (Resistant),S31653,Boiling,7.4,9.6,67.2
Austenitic,A (Resistant),A (Resistant),S31635,20,6.4,5,48.9
Austenitic,D (Poor),D (Poor),S30400,21,5.4,2.8,27.3
Austenitic,A (Resistant),A (Resistant),S31635,Boiling,8.7,1.9,93.4
Austenitic,A (Resistant),A (Resistant),S31703,20,5.5,6.9,30.9
Austenitic,A (Resistant),A (Resistant),S31703,Boiling,8.8,5.4,96
Austenitic,A (Resistant),A (Resistant),S31725,20,6.8,6,55.7
Austenitic,A (Resistant),A (Resistant),S31725,Boiling,5.7,7.6,34.8
Duplex,A (Resistant),A (Resistant),S32900,20,7.2,7.3,63.4
Duplex,A (Resistant),A (Resistant),S32900,Boiling,8.5,0.4,89.8
Duplex,A (Resistant),A (Resistant),S31803,20,7.9,8,78.6
Duplex,A (Resistant),A (Resistant),S31803,Boiling,8.2,5.3,84.5
Ferritic,A (Resistant),A (Resistant),S43000,20,7.6,3.9,72.7
Ferritic,A (Resistant),A (Resistant),S43000,Boiling,7.8,5.4,75.4
Ferritic,A (Resistant),A (Resistant),S43400,20,8.4,6.1,87.9
Ferritic,A (Resistant),A (Resistant),S43400,Boiling,6,1.5,40
Austenitic,A (Resistant),A (Resistant),S30100,20,7,4.2,59.2
Austenitic,D (Poor),D (Poor),S30100,Boiling,5.9,3.4,37.7
Austenitic,A (Resistant),A (Resistant),S30200,20,9,3.5,99
Austenitic,D (Poor),D (Poor),S30200,Boiling,8.8,0.9,95.5
Austenitic,A (Resistant),A (Resistant),S30300,20,5.2,1.6,23.2
Austenitic,D (Poor),D (Poor),S30300,Boiling,7.8,1.6,76.4
Austenitic,A (Resistant),A (Resistant),S30400,20,8.7,3.7,94
Austenitic,D (Poor),D (Poor),S30400,Boiling,5.7,8.9,34.4
Austenitic,A (Resistant),A (Resistant),S31600,20,7.3,2.1,65.4
Austenitic,C (Questionable),C (Questionable),S31600,Boiling,8.7,4.2,93.2
Austenitic,A (Resistant),A (Resistant),S32100,20,5.1,3.1,22.7
Austenitic,D (Poor),D (Poor),S32100,Boiling,7.8,7.9,75.8
Austenitic,A (Resistant),A (Resistant),S34700,20,6.2,0.5,43.8
Austenitic,D (Poor),D (Poor),S34700,Boiling,8.7,2,94
Austenitic,A (Resistant),A (Resistant),S30403,20,8.9,2.1,97.7
Austenitic,D (Poor),D (Poor),S30403,Boiling,8.8,9.9,95.5
Austenitic,A (Resistant),A (Resistant),S30453,20,6.9,5.7,57.9
Austenitic,D (Poor),D (Poor),S30453,Boiling,8.4,1.4,89
Austenitic,A (Resistant),A (Resistant),S31620,20,8.4,2.7,87.6
Austenitic,D (Poor),D (Poor),S31620,Boiling,6.3,1.7,45.5
Austenitic,A (Resistant),A (Resistant),S31603,20,8.3,1.2,86.3
Austenitic,C (Questionable),C (Questionable),S31603,Boiling,5.1,8,23
Austenitic,A (Resistant),A (Resistant),S31653,20,7.4,5,67.7
Austenitic,C (Questionable),C (Questionable),S31653,Boiling,5.9,6.3,38.4
Austenitic,A (Resistant),A (Resistant),S31635,20,5.5,3.3,29.6
Austenitic,C (Questionable),C (Questionable),S31635,Boiling,5.3,5.5,26.2
Austenitic,A (Resistant),A (Resistant),S31703,20,7.8,2.6,75.7
Austenitic,C (Questionable),C (Questionable),S31703,Boiling,6.4,3.1,47.2
Austenitic,A (Resistant),A (Resistant),S31725,20,7.9,6.5,78
Austenitic,C (Questionable),C (Questionable),S31725,Boiling,5.3,1.5,25.2
Duplex,A (Resistant),A (Resistant),S32900,20,6.3,6.2,45.2
Duplex,C (Questionable),C (Questionable),S32900,Boiling,7.2,8.5,63.2
Duplex,A (Resistant),A (Resistant),S31803,20,8.2,1.2,83.3
Duplex,C (Questionable),C (Questionable),S31803,Boiling,6.3,9,45.5
Ferritic,A (Resistant),A (Resistant),S43400,20,7.5,0.8,70.1
99.0% min Al,A (Resistant),A (Resistant),,20,8.5,3.5,90.9
Aluminum,A (Resistant),A (Resistant),,20,7.5,6.1,69.3
Aluminum bronze,B (Good),B (Good),,,5.9,5.6,38.6
Brass,C (Questionable),C (Questionable),,,5.1,1,22
Brass,D (Poor),D (Poor),C26000,,8.5,8,89.6
Brass,B (Good),B (Good),C22000,,5.1,9.7,21.7
Brass,D (Poor),D (Poor),C28000,,8.5,1.8,90
Brass,B (Good),B (Good),C23000,,7.1,9,62.3
Copper,B (Good),B (Good),C11000,,8.8,5.6,95.1
Copper,B (Good),B (Good),C12200,,8.2,9.4,83.9
Copper-nickel,B (Good),B (Good),C71500,,9,1.8,99.8
Copper-nickel,B (Good),B (Good),C70600,,6.4,7.9,48.1
Leaded brass,D (Poor),D (Poor),C38500,,8.1,0.6,81.4
Leaded brass,D (Poor),D (Poor),C36000,,6.6,8.8,52.2
Nickel-silver,B (Good),B (Good),,,6.9,6.7,58.4
Phosphor bronze,B (Good),B (Good),C51000,,7.5,3.7,70.2
Phosphor bronze,B (Good),B (Good),C52100,,8.5,1.9,89.9
Silicon bronze,B (Good),B (Good),C65500,,8.9,8.2,98.7
Silicon bronze,B (Good),B (Good),C65100,,8.1,6,81.5
Tin brass,C (Questionable),C (Questionable),C44300,,6.7,3.6,53.4
Tin brass,D (Poor),D (Poor),C46400,,6.7,4.4,53.7
Lead and alloys,0.5 max ,20 max ,L50045,24,8,8.3,79
Noble metals,0.05 max ,2 max ,P04995,Boiling,6,3.4,39.1
Noble metals,0.05 max ,2 max ,P07010,Boiling,5.4,0.9,28.8
Tin and alloys,A (Resistant),A (Resistant),,20,6.4,9.1,48.4
Tin and alloys,D (Poor),D (Poor),,60,6.1,3.9,43
Tin and alloys,D (Poor),D (Poor),,100,6.2,3.5,43.7
Niobium and alloys,0.005,0.2,R04210,Boiling,5.9,2,38.7
Tantalum and alloys,A (Resistant),A (Resistant),R05210,100,5.2,9,23.4
Titanium and alloys,0.002,0.08,,100,5.1,2.2,21.4
Titanium and alloys,0.03,1.2,,150,9,6.4,99
Titanium and alloys,A (Resistant),A (Resistant),,60,6.7,8.8,54.2
Titanium and alloys,6.55,262,,100,6.5,0.3,50.7
Titanium and alloys,0.002,0.08,,100,7.7,8.3,74.4
Titanium and alloys,3.15,126,,100,5.9,4.1,37.5
Titanium and alloys,A (Resistant),A (Resistant),R53400,Boiling,8.8,6.6,96
Titanium and alloys,0.025 max ,1 max ,R52400,100,8.1,3.7,82.9
Titanium and alloys,0.025,1,R52400,100,5.4,7,27.2
Zirconium and alloys,0.025 max ,1 max ,R60702,35-100,6.7,2.5,53.4
Zirconium and alloys,0.025 max ,1 max ,R60702,Boiling,8.5,0.2,90.3
Zirconium and alloys,0.05 max ,2 max ,R60702,100,8.8,9.5,95.6
Zirconium and alloys,0.05 max ,2 max ,R60702,60,6.9,0.2,57.4
Zirconium and alloys,0.025 max ,1 max ,R60705,Boiling,7.5,8.2,69.1
Austenitic,C (Questionable),C (Questionable),S30100,50,5.7,1.7,33.4
Austenitic,D (Poor),D (Poor),S30100,20,9,3.9,99.3
Austenitic,C (Questionable),C (Questionable),S30200,50,5.9,8.2,38.5
Austenitic,D (Poor),D (Poor),S30200,20,8.8,2.1,95.4
Austenitic,C (Questionable),C (Questionable),S30300,50,7.6,8.7,72
Austenitic,D (Poor),D (Poor),S30300,20,7.4,5,68.6
Austenitic,C (Questionable),C (Questionable),S30400,50,7.1,3.7,61
Austenitic,D (Poor),D (Poor),S30400,20,5.9,6.6,38.5
Austenitic,0.28,11,S30400,45-91,5.7,3.4,34.1
Austenitic,0.018,0.7,S30400,Room,5.9,3.5,37.6
Austenitic,0.015,0.6,S30400,Room,5.7,7.3,34.9
Austenitic,C (Questionable),C (Questionable),S31600,21,8.1,3.1,82.4
Austenitic,C (Questionable),C (Questionable),S31600,21,6.4,2,48
Austenitic,B (Good),B (Good),S31600,50,5.2,8.1,24.6
Austenitic,C (Questionable),C (Questionable),S31600,20,8.9,8.1,97.5
Austenitic,0.1,4,S31600,45-91,8.5,5,90.7
Austenitic,0.01,0.4,S31600,Room,8.7,5.3,94.2
Austenitic,0.004,0.15,S31600,26,9,7,99.6
Austenitic,0.006,0.24,S31700,26,5.7,5.1,33.9
Austenitic,C (Questionable),C (Questionable),S32100,50,6.6,4.2,51.7
Austenitic,D (Poor),D (Poor),S32100,20,8,9.9,80.7
Austenitic,C (Questionable),C (Questionable),S34700,50,7.8,1.5,75.7
Austenitic,D (Poor),D (Poor),S34700,20,5.6,5.9,32.3
Austenitic,C (Questionable),C (Questionable),S30403,50,8.3,8.9,85.3
Austenitic,D (Poor),D (Poor),S30403,20,5.9,6.9,38
Austenitic,C (Questionable),C (Questionable),S30453,50,5.9,8.8,37.9
Austenitic,D (Poor),D (Poor),S30453,20,7.1,3.4,63
Austenitic,C (Questionable),C (Questionable),S31620,50,7.4,2.7,67.4
Austenitic,D (Poor),D (Poor),S31620,20,7.3,8.5,66.4
Austenitic,B (Good),B (Good),S31603,50,5.4,3.9,27.3
Austenitic,C (Questionable),C (Questionable),S31603,20,8.5,7.1,90.2
Austenitic,B (Good),B (Good),S31653,50,6.1,1.5,41.2
Austenitic,C (Questionable),C (Questionable),S31653,20,5.5,7.6,30.4
Austenitic,B (Good),B (Good),S31635,50,8.6,5.5,91.1
Austenitic,C (Questionable),C (Questionable),S31635,20,8.8,2.7,96.5
Austenitic,B (Good),B (Good),S31703,50,8.4,4.9,89
Austenitic,C (Questionable),C (Questionable),S31703,20,8.2,7,84.8
Austenitic,B (Good),B (Good),S31725,50,7.6,0.1,72.4
Austenitic,C (Questionable),C (Questionable),S31725,20,7.2,6.4,64.1
Austenitic,0.005,5,,45-91,5.3,5.4,27
Duplex,B (Good),B (Good),S32900,50,6.6,2.2,52.7
Duplex,C (Questionable),C (Questionable),S32900,20,6.5,7.5,49.8
Duplex,B (Good),B (Good),S31803,50,6,3,40.8
Duplex,C (Questionable),C (Questionable),S31803,20,7.9,2.8,77.9
Ferritic,D (Poor),D (Poor),S43000,21,7,4.7,59.7
Ferritic,D (Poor),D (Poor),S43000,21,5.3,6.8,26.5
Martensitic,D (Poor),D (Poor),S41000,21,5.9,9.3,37.6
Martensitic,D (Poor),D (Poor),S41000,21,7.7,1.4,74.7
Martensitic,D (Poor),D (Poor),S41000,Room,5.3,4,26.1
Noble metals,0.05 max ,2 max ,P04995,Boiling,8.4,0.7,88.1
Noble metals,0.05 max ,2 max ,P07010,Boiling,7,7.6,59.6
Titanium and alloys,A (Resistant),A (Resistant),,Room,6.9,4.5,58.4
Zirconium and alloys,1.3 min ,50 min ,R60702,Room,7.4,7.1,67.4
Austenitic,D (Poor),D (Poor),S30400,21,8.3,3.2,86
Austenitic,D (Poor),D (Poor),S31600,21,6.4,8.4,47.8
Ferritic,D (Poor),D (Poor),S43000,21,7.7,5.3,74.2
Martensitic,D (Poor),D (Poor),S41000,21,7.3,9.4,65.3
Martensitic,D (Poor),D (Poor),S41000,Room,6.1,0.8,41.4
Aluminum Bronze,A (Resistant),A (Resistant),,,8.5,5.1,90.3
Aluminum bronze,0.05 max ,2 max ,C61300,,8.2,7.7,83.8
Brass,A (Resistant),A (Resistant),,,7.6,6,72.7
Brass,A (Resistant),A (Resistant),C26000,,8.4,0.2,88
Brass,A (Resistant),A (Resistant),C22000,,8.5,9.7,89.4
Brass,A (Resistant),A (Resistant),C28000,,7.8,3,76.7
Brass,A (Resistant),A (Resistant),C23000,,8.3,2.5,87
Copper,A (Resistant),A (Resistant),C11000,,7.8,4.9,75.8
Copper,A (Resistant),A (Resistant),C12200,,7.7,5.4,74.4
Copper-nickel,A (Resistant),A (Resistant),C71500,,7.5,7.7,69.5
Copper-nickel,A (Resistant),A (Resistant),C70600,,8,3.9,80.2
Leaded brass,A (Resistant),A (Resistant),C38500,,5.6,4.4,32.7
Leaded brass,A (Resistant),A (Resistant),C36000,,8.5,5.3,90.5
Nickel-silver,A (Resistant),A (Resistant),,,8.5,3.9,89.7
Phosphor bronze,A (Resistant),A (Resistant),C51000,,5.1,9.1,22.3
Phosphor bronze,A (Resistant),A (Resistant),C52100,,8.3,8.5,86.1
Silicon bronze,A (Resistant),A (Resistant),C65500,,5.5,4.5,30.3
Silicon bronze,A (Resistant),A (Resistant),C65100,,6.3,0,46.8
Tin Brass,A (Resistant),A (Resistant),C44300,,8,9,79.5
Tin brass,A (Resistant),A (Resistant),C46400,,5.6,1.2,32.9
Precipitation hardening,A (Resistant),A (Resistant),S36300,Room,8.3,2.4,85.4
Austenitic,A (Resistant),A (Resistant),S30100,20,8.3,1.5,86.6
Austenitic,A (Resistant),A (Resistant),S30200,20,7,1.8,60.6
Austenitic,A (Resistant),A (Resistant),S30300,20,5,8,20.5
Austenitic,A (Resistant),A (Resistant),S30300,20,6.1,5.8,43
Austenitic,A (Resistant),A (Resistant),S30400,20,7.5,9.6,69.4
Austenitic,A (Resistant),A (Resistant),S31600,20,8.9,2.3,98.5
Austenitic,A (Resistant),A (Resistant),S32100,20,7.5,4.9,70.5
Austenitic,A (Resistant),A (Resistant),S34700,20,6,9.8,40.8
Austenitic,A (Resistant),A (Resistant),S30403,20,7.5,8.3,70.7
Austenitic,A (Resistant),A (Resistant),S30453,20,7.2,7.3,63.2
Austenitic,A (Resistant),A (Resistant),S31620,20,8.1,1.9,82.4
Austenitic,A (Resistant),A (Resistant),S31603,20,5.4,7.7,28.6
Austenitic,A (Resistant),A (Resistant),S31653,20,8,3.5,80.9
Austenitic,A (Resistant),A (Resistant),S31635,20,7.2,5.3,63.3
Austenitic,A (Resistant),A (Resistant),S31703,20,8.9,6.1,97
Austenitic,A (Resistant),A (Resistant),S31725,20,6.4,6.1,47.3
Duplex,A (Resistant),A (Resistant),S32900,20,7.5,7.3,70.6
Duplex,A (Resistant),A (Resistant),S31803,20,8.7,6.6,94.6
Ferritic,A (Resistant),A (Resistant),S40500,20,5.4,0.7,28.2
Ferritic,A (Resistant),A (Resistant),S40900,20,8.7,4.6,95
Ferritic,A (Resistant),A (Resistant),S43000,20,7.8,6.6,75
Ferritic,A (Resistant),A (Resistant),S43400,20,5.3,3,25.4
Martensitic,A (Resistant),A (Resistant),S40300,20,6.2,3.1,44.1
Martensitic,A (Resistant),A (Resistant),S41000,20,7.8,1.2,76.7
Martensitic,A (Resistant),A (Resistant),S41600,20,5.3,4.2,25.4
Martensitic,A (Resistant),A (Resistant),S42000,20,7.3,9.9,66.6
99.0% min Al,C (Questionable),C (Questionable),,,6.4,2.9,47.7
Aluminum bronze,B (Good),B (Good),,,7.5,5.3,69.7
Aluminum bronze,0.05 max ,2 max ,C61300,,5.2,7.4,23.7
Brass,B (Good),B (Good),,,8.5,0.1,89.7
Brass,D (Poor),D (Poor),C26000,,8.9,9,97.9
Brass,B (Good),B (Good),C22000,,8.9,3.9,97.5
Brass,D (Poor),D (Poor),C28000,,8,8.7,80
Brass,B (Good),B (Good),C23000,,5.5,0.4,30.4
Copper,B (Good),B (Good),C11000,,8,1.5,80.7
Copper,B (Good),B (Good),C12200,,5.1,3.2,22
Copper-nickel,A (Resistant),A (Resistant),C71500,,5.1,3.5,21.8
Copper-nickel,B (Good),B (Good),C70600,,6.3,8.5,45.9
Leaded brass,D (Poor),D (Poor),C38500,,7,0.1,59.1
Leaded brass,D (Poor),D (Poor),C36000,,8.1,6.4,81.6
Nickel-silver,B (Good),B (Good),,,7.7,1.3,74.7
Phosphor bronze,B (Good),B (Good),C51000,,6.8,8.2,55.7
Phosphor bronze,B (Good),B (Good),C52100,,6.1,7.8,41.9
Silicon bronze,B (Good),B (Good),C65500,,9,5,99.8
Silicon bronze,B (Good),B (Good),C65100,,6.7,2.1,54.1
Tin brass,B (Good),B (Good),C44300,,6.8,6.3,56.1
Tin brass,D (Poor),D (Poor),C46400,,5.7,1.6,33.1
Magnesium and alloys,2.3,90,M11610,35,8.2,1.9,83.6
Noble metals,A (Resistant),A (Resistant),,100,7.8,6.3,75.5
Noble metals,A (Resistant),A (Resistant),P03980,Room,5.9,9.9,37.7
Noble metals,A (Resistant),A (Resistant),P03980,100,5.3,8.9,26.6
Noble metals,A (Resistant),A (Resistant),P04995,Room - 100,7.7,5.9,74.4
Noble metals,0.05 max ,2 max ,P04995,Boiling,7.6,5.4,72.4
Noble metals,A (Resistant),A (Resistant),P05990,100,6.1,10,41.9
Noble metals,A (Resistant),A (Resistant),,100,8.8,5.5,96.1
Noble metals,A (Resistant),A (Resistant),,100,5.6,4.2,32.1
Noble metals,0.05 max ,2 max ,P07010,Boiling,6.7,9.1,54.6
Nickel,1.5,59,N02200,115,8.8,2.3,95.5
Nickel,1.475,59,N02200,115,6.7,1,53.6
Nickel,0.015,0.6,N02200,35,7.6,6.3,71.1
Nickel,0.015,0.6,N02200,35,6.6,1,51.8
Nickel-chromium-iron,0.003 max ,0.1 max ,N08800,80,6.1,3.7,41.9
Nickel-chromium-iron,0.002 max ,0.1 max ,N06601,80,8.9,4.2,98.7
Nickel-chromium-molybdenum-(tungsten),0.03 max ,1 max ,N06690,80,6.6,5.5,52.7
Nickel-copper,0.408,16.3,N04400,115,8.6,9.9,91.5
Nickel-copper,0.04,1.6,N04400,35,5.9,2.2,38.4
Hafnium,A (Resistant),A (Resistant),,,5.9,3.8,37
Hafnium,A (Resistant),A (Resistant),,,5.1,1.3,22.5
Niobium and alloys,A (Resistant),A (Resistant),R04210,Boiling,7.6,6.1,72.1
Titanium and alloys,0.05,2,,80,6.5,7.3,49.5
Titanium and alloys,0.12,4.8,,Boiling,8.5,4.8,89.1
Titanium and alloys,A (Resistant),A (Resistant),,Room,6.9,2.5,57.9
Titanium and aloys,A (Resistant),A (Resistant),,Room,8.9,6.2,97.5
Zirconium and alloys,A (Resistant),A (Resistant),R60702,Boiling,5.7,5.4,34.8
Zirconium and alloys,A (Resistant),A (Resistant),R60702,Boiling,8.5,1.7,89.5
Zirconium and alloys,0.05 max ,2 max ,R60702,100,8.1,4.1,82.1
Zirconium and alloys,A (Resistant),A (Resistant),R60705,Boiling,8.1,4.4,81.7
Zirconium and alloys,A (Resistant),A (Resistant),R60705,Boiling,8.4,9.8,87.6
Austenitic,A (Resistant),A (Resistant),S30100,20,8,8.5,80.9
Austenitic,B (Good),B (Good),S30100,Boiling,7.5,7.3,70.1
Austenitic,B (Good),B (Good),S30100,20,5.5,8.9,30.5
Austenitic,C (Questionable),C (Questionable),S30100,Boiling,5.1,7.4,22.6
Austenitic,A (Resistant),A (Resistant),S30200,20,8.7,9,93.7
Austenitic,B (Good),B (Good),S30200,Boiling,7.5,0.5,69.3
Austenitic,B (Good),B (Good),S30200,20,8.2,4.6,83.7
Austenitic,C (Questionable),C (Questionable),S30200,Boiling,6.9,7.5,58.5
Austenitic,B (Good),B (Good),S30300,20,5.5,5.8,29.4
Austenitic,A (Resistant),A (Resistant),S30300,20,5.5,1.8,30
Austenitic,C (Questionable),C (Questionable),S30300,Boiling,7.7,3.4,74.8
Austenitic,B (Good),B (Good),S30300,Boiling,6.7,3.2,54.4
Austenitic,C (Questionable),C (Questionable),S30300,20,5.8,2.6,36
Austenitic,B (Good),B (Good),S30300,20,7,3.4,59.3
Austenitic,D (Poor),D (Poor),S30300,Boiling,5.3,5.1,25.1
Austenitic,C (Questionable),C (Questionable),S30300,Boiling,7.3,8.5,66.6
Austenitic,A (Resistant),A (Resistant),S30400,21,6.1,7.4,41.5
Austenitic,A (Resistant),A (Resistant),S30400,20,8.2,8.4,83.8
Austenitic,B (Good),B (Good),S30400,Boiling,6.2,8.8,44.8
Austenitic,B (Good),B (Good),S30400,20,6.8,4.2,56.4
Austenitic,C (Questionable),C (Questionable),S30400,Boiling,5,3.5,20.9
Austenitic,0.75,30,S30400,118,5.3,0.6,25.8
Nickel,0.175,7,N02200,Room,1.9,9.3,51.4
Austenitic,15,630,S30400,107-113,6.9,0.7,58.4
Austenitic,0.23,9,S30400,118,7.4,7.4,68
Austenitic,A (Resistant),A (Resistant),S30400,79,6.2,3.8,43.3
Austenitic,1.5,60,S30400,88,7.8,9.5,75.6
Austenitic,A (Resistant),A (Resistant),S31600,21,8.4,4.2,88.8
Austenitic,A (Resistant),A (Resistant),S31600,20,8.1,8.2,82.4
Austenitic,A (Resistant),A (Resistant),S31600,Boiling,5.2,2.8,23.2
Austenitic,A (Resistant),A (Resistant),S31600,20,6.9,3,58.4
Austenitic,B (Good),B (Good),S31600,Boiling,5.4,6,28.4
Austenitic,5,200,S31600,107-113,6,10,39.4
Austenitic,0.23,9,S31600,118,8.9,5.2,98.9
Austenitic,0.1,4,S31600,118,5.6,9.4,31.4
Austenitic,0.0005,0.2,S31600,79,7,7.9,59.9
Austenitic,0.008,0.3,S31600,88,7.5,8,69.5
Austenitic,2.3,90,S31700,107-113,7.8,4.4,76.2
Austenitic,A (Resistant),A (Resistant),S32100,20,7.2,3.9,64.8
Austenitic,B (Good),B (Good),S32100,Boiling,5,1.9,20.8
Austenitic,B (Good),B (Good),S32100,20,6.3,9.6,46.1
Austenitic,C (Questionable),C (Questionable),S32100,Boiling,7.1,9.6,61.4
Austenitic,A (Resistant),A (Resistant),S34700,20,5.4,7.5,27
Austenitic,B (Good),B (Good),S34700,Boiling,6.4,3,48.1
Austenitic,B (Good),B (Good),S34700,20,5.1,2.5,22.7
Austenitic,C (Questionable),C (Questionable),S34700,Boiling,5.3,9.9,26.3
Austenitic,A (Resistant),A (Resistant),S30403,20,6.6,0.7,51.8
Austenitic,B (Good),B (Good),S30403,Boiling,5.5,8.4,30.6
Austenitic,B (Good),B (Good),S30403,20,7.3,3.6,65.4
Austenitic,C (Questionable),C (Questionable),S30403,Boiling,7.8,4.2,75.2
Austenitic,A (Resistant),A (Resistant),S30453,20,8.2,8.3,84
Austenitic,B (Good),B (Good),S30453,Boiling,5.8,0.9,36
Austenitic,B (Good),B (Good),S30453,20,5.7,3.5,33.4
Austenitic,C (Questionable),C (Questionable),S30453,Boiling,5.4,9.5,28.4
Austenitic,A (Resistant),A (Resistant),S31620,20,7.5,7,70.9
Austenitic,B (Good),B (Good),S31620,Boiling,7.8,7.5,76.5
Austenitic,B (Good),B (Good),S31620,20,5.1,7.6,22.5
Austenitic,C (Questionable),C (Questionable),S31620,Boiling,8.7,0.6,94.9
Austenitic,A (Resistant),A (Resistant),S31603,20,5.2,2,24.2
Austenitic,A (Resistant),A (Resistant),S31603,Boiling,7.2,4.9,63.3
Austenitic,A (Resistant),A (Resistant),S31603,20,7.8,3.7,76.7
Austenitic,B (Good),B (Good),S31603,Boiling,8.5,4.1,89.7
Austenitic,A (Resistant),A (Resistant),S31653,20,7.9,7.8,77.1
Austenitic,A (Resistant),A (Resistant),S31653,Boiling,8.2,0.1,84.1
Austenitic,A (Resistant),A (Resistant),S31653,20,6.4,6.6,47.2
Austenitic,B (Good),B (Good),S31653,Boiling,8.3,0,85.2
Austenitic,A (Resistant),A (Resistant),S31635,20,5.3,0.6,26.4
Austenitic,A (Resistant),A (Resistant),S31635,Boiling,8.6,4.1,91.6
Austenitic,A (Resistant),A (Resistant),S31635,20,7.2,8.4,63.8
Austenitic,B (Good),B (Good),S31635,Boiling,8.3,1.4,85.4
Austenitic,A (Resistant),A (Resistant),S31703,20,6.8,5.5,56.2
Austenitic,A (Resistant),A (Resistant),S31703,Boiling,7.6,6.8,71.5
Austenitic,A (Resistant),A (Resistant),S31703,20,7.1,2.3,62.1
Austenitic,B (Good),B (Good),S31703,Boiling,7.9,5.1,78.5
Austenitic,A (Resistant),A (Resistant),S31725,20,5.3,9.1,26.5
Austenitic,A (Resistant),A (Resistant),S31725,Boiling,5.2,5.1,24.8
Austenitic,A (Resistant),A (Resistant),S31725,20,6,1.6,39.8
Austenitic,B (Good),B (Good),S31725,Boiling,5.6,6.3,32.8
Austenitic,0.0015,0.6,,79,8.5,5.9,89.7
Duplex,A (Resistant),A (Resistant),S32900,20,5.9,0.3,37.5
Duplex,A (Resistant),A (Resistant),S32900,Boiling,8.9,0.9,98.1
Duplex,A (Resistant),A (Resistant),S32900,20,6.3,1.6,47
Duplex,B (Good),B (Good),S32900,Boiling,5.7,1.4,34.6
Duplex,A (Resistant),A (Resistant),S31803,20,8.2,2.6,83.2
Duplex,A (Resistant),A (Resistant),S31803,Boiling,7.6,4.5,72.7
Duplex,A (Resistant),A (Resistant),S31803,20,7,3.7,59.9
Duplex,B (Good),B (Good),S31803,Boiling,7.2,8.9,64.4
Ferritic,C (Questionable),C (Questionable),S40500,20,7.9,6.1,77.5
Ferritic,D (Poor),D (Poor),S40500,Boiling,5.9,8.8,38.3
Ferritic,C (Questionable),C (Questionable),S40500,20,9,5.3,99.7
Ferritic,D (Poor),D (Poor),S40500,Boiling,8.9,0.9,98
Ferritic,C (Questionable),C (Questionable),S40900,20,7.6,4.6,72
Ferritic,D (Poor),D (Poor),S40900,Boiling,5.8,8.2,36
Ferritic,C (Questionable),C (Questionable),S40900,20,7.7,1.9,74.4
Ferritic,D (Poor),D (Poor),S40900,Boiling,5.3,0.9,25.8
Ferritic,D (Poor),D (Poor),S43000,21,5.1,3.3,22.5
